county_fips,NAME,pm25_mean,median_income,population,manufacturing_share,RUCC_2023,urban_flag,state_key,county_key,total_emp,manuf_emp
01001,"Autauga County, Alabama",NA,68315,58761,12.36984589754269,2,1,ALABAMA,AUTAUGA,26411,3267
01003,"Baldwin County, Alabama",7.317391,71039,233420,8.974024278814776,3,1,ALABAMA,BALDWIN,107254,9625
01005,"Barbour County, Alabama",NA,39712,24877,22.29058211074302,6,0,ALABAMA,BARBOUR,8452,1884
01007,"Bibb County, Alabama",NA,50669,22251,16.440184421256976,1,1,ALABAMA,BIBB,8242,1355
01009,"Blount County, Alabama",NA,57440,59077,16.784679755391053,1,1,ALABAMA,BLOUNT,24856,4172
01011,"Bullock County, Alabama",NA,36136,10328,38.11431623931624,8,0,ALABAMA,BULLOCK,3744,1427
01013,"Butler County, Alabama",NA,44429,18981,24.00266844563042,6,0,ALABAMA,BUTLER,7495,1799
01015,"Calhoun County, Alabama",NA,54339,116162,18.29744211909817,3,1,ALABAMA,CALHOUN,49455,9049
01017,"Chambers County, Alabama",NA,48805,34612,29.06050955414013,6,0,ALABAMA,CHAMBERS,15072,4380
01019,"Cherokee County, Alabama",NA,46621,25069,19.109642301710732,8,0,ALABAMA,CHEROKEE,10288,1966
01021,"Chilton County, Alabama",NA,62471,45140,13.978266631327855,1,1,ALABAMA,CHILTON,18865,2637
01023,"Choctaw County, Alabama",NA,43299,12669,19.924977934686673,9,0,ALABAMA,CHOCTAW,4532,903
01025,"Clarke County, Alabama",NA,47549,23058,15.610253794158908,9,0,ALABAMA,CLARKE,7841,1224
01027,"Clay County, Alabama",6.88087,48074,14209,29.641819941916747,9,0,ALABAMA,CLAY,5165,1531
01029,"Cleburne County, Alabama",NA,51553,15144,19.44834855938159,8,0,ALABAMA,CLEBURNE,5692,1107
01031,"Coffee County, Alabama",NA,62199,53559,10.277930654925703,4,0,ALABAMA,COFFEE,21804,2241
01033,"Colbert County, Alabama",NA,56149,57270,18.570479502911407,3,1,ALABAMA,COLBERT,25589,4752
01035,"Conecuh County, Alabama",NA,39888,11576,22.225179664626033,9,0,ALABAMA,CONECUH,3757,835
01037,"Coosa County, Alabama",NA,52279,10329,27.611168562564632,8,0,ALABAMA,COOSA,3868,1068
01039,"Covington County, Alabama",NA,48772,37542,13.697813121272366,6,0,ALABAMA,COVINGTON,15090,2067
01041,"Crenshaw County, Alabama",NA,48557,13205,22.973499610288385,8,0,ALABAMA,CRENSHAW,5132,1179
01043,"Cullman County, Alabama",NA,58119,88284,15.927991886409737,4,0,ALABAMA,CULLMAN,39440,6282
01045,"Dale County, Alabama",NA,52813,49455,10.322936792713222,4,0,ALABAMA,DALE,18115,1870
01047,"Dallas County, Alabama",NA,37180,38326,22.75228079949857,4,0,ALABAMA,DALLAS,14359,3267
01049,"DeKalb County, Alabama",6.855932,47920,71680,25.17598209361923,6,0,ALABAMA,DEKALB,30827,7761
01051,"Elmore County, Alabama",NA,73258,87694,10.529936305732484,2,1,ALABAMA,ELMORE,39250,4133
01053,"Escambia County, Alabama",NA,41153,36755,15.867016352977476,6,0,ALABAMA,ESCAMBIA,12964,2057
01055,"Etowah County, Alabama",8.231534888888888,52177,103348,18.243911206974026,3,1,ALABAMA,ETOWAH,44508,8120
01057,"Fayette County, Alabama",NA,45650,16297,28.176620076238883,8,0,ALABAMA,FAYETTE,6296,1774
01059,"Franklin County, Alabama",NA,47359,32011,32.9868587125993,6,0,ALABAMA,FRANKLIN,13469,4443
01061,"Geneva County, Alabama",NA,47608,26647,12.213039485766759,3,1,ALABAMA,GENEVA,10890,1330
01063,"Greene County, Alabama",NA,32796,7706,22.208067940552016,2,1,ALABAMA,GREENE,2355,523
01065,"Hale County, Alabama",NA,35851,14742,17.596171544266518,2,1,ALABAMA,HALE,5433,956
01067,"Henry County, Alabama",NA,58395,17282,11.227974320448027,3,1,ALABAMA,HENRY,7321,822
01069,"Houston County, Alabama",NA,55064,107040,9.661328432659491,3,1,ALABAMA,HOUSTON,45708,4416
01071,"Jackson County, Alabama",NA,46748,52618,26.125949522175937,6,0,ALABAMA,JACKSON,20405,5331
